作者坦克 prop2: 217 包（0~43s），avatar prop9: 419 包，t10: 773

       t coarse   frac turret   pitch9° Δpitch°/s    Δfrac
  10.184    527   52  +86.5      5.28     +28.3     +452
  10.293    529   53  +87.2      5.95      +6.2     +129
  12.087    529   52  +87.2      6.01      +0.0       -1
  12.188    536   52  +87.1      8.59     +25.7     +448
  12.286    540   52  +85.3      9.86     +12.9     +256
  12.393    544   52  +85.1     11.27     +13.2     +256
  12.885    551   52  +85.1     13.80      +5.2     +448
  12.988    544   52  +79.4     11.17     -25.8     -448
  13.087    536   53  +75.1      8.53     -26.6     -511
  13.184    534   53  +74.4      7.69      -8.6     -128
  13.390    534   52  +74.4      7.66      -0.2       -1
  13.585    533   52  +74.0      7.39      -1.4      -64
  13.789    532   53  +73.7      7.05      -1.7      -63
  13.891    525   53  +71.2      4.41     -25.8     -448
  13.988    517   53  +66.0      1.77     -27.4     -512
  14.087    510   53  +60.7     -0.87     -26.6     -448
  14.186    517   53  +60.1      1.75     +26.3     +448
  14.292    524   53  +59.5      4.39     +25.0     +448
  14.386    529   53  +60.3      5.90     +16.0     +320
  14.683    529   54  +60.3      5.97      +0.2       +1
  14.993    529   55  +60.3      5.97      -0.0       +1
  15.795    529   54  +60.3      5.83      -0.2       -1
  15.986    529   53  +60.3      5.90      +0.4       -1
  16.084    529   52  +60.3      5.90      -0.0       -1
  16.191    529   51  +60.3      5.92      +0.2       -1
  16.386    529   50  +60.4      5.92      -0.0       -1
  16.493    529   49  +60.4      5.92      -0.0       -1
  16.686    529   48  +60.4      5.91      -0.0       -1
  16.986    529   47  +60.4      5.91      -0.0       -1
  17.295    529   46  +60.4      5.91      -0.0       -1
  17.685    529   45  +60.4      5.90      -0.0       -1
  17.885    529   46  +60.4      6.03      +0.6       +1
  17.993    529   45  +60.4      6.02      -0.1       -1
  18.586    523   45  +60.5      3.85      -3.7     -384
  18.687    516   45  +60.6      1.27     -25.6     -448
  18.787    508   45  +60.4     -1.37     -26.2     -512
  18.886    506   45  +60.3     -1.97      -6.1     -128
  18.989    506   46  +60.3     -2.02      -0.5       +1
  19.286    506   47  +60.3     -2.09      -0.2       +1
  19.684    506   48  +60.3     -2.08      +0.0       +1
  20.290    506   49  +60.3     -2.09      -0.0       +1
  20.590    506   50  +60.3     -2.08      +0.0       +1
  20.793    506   51  +60.2     -2.09      -0.0       +1
  20.887    506   52  +60.2     -2.10      -0.1       +1
  21.086    506   53  +60.2     -2.17      -0.4       +1
  21.188    506   54  +60.2     -2.20      -0.3       +1
  21.296    506   55  +60.2     -2.23      -0.3       +1
  21.384    506   56  +60.2     -2.27      -0.5       +1
  21.492    505   58  +59.7     -2.29      -0.2      -62
  21.590    505   60  +59.7     -2.36      -0.7       +2
  21.691    505   63* +59.6     -2.47      -1.1       +3
  21.888    504   63* +59.1     -2.69      -1.1      -64
  22.186    503   60  +59.0     -3.00      -1.0      -67
  22.290    511   59  +62.0     -0.36     +25.3     +511
  22.385    518   59  +64.8      2.28     +27.7     +448
  22.487    526   58  +67.9      4.92     +25.8     +511
  22.589    533   58  +70.7      7.56     +26.0     +448
  22.689    541   57  +73.7     10.19     +26.4     +511
  22.792    549   57  +76.6     12.83     +25.6     +512
  22.885    556   57  +79.0     15.47     +28.5     +448
  22.985    564   56  +81.7     18.11     +26.4     +511
  23.085    571   57  +84.1     20.75     +26.3     +449
  23.188    579   57  +89.0     23.39     +25.5     +512
  23.305    575   58  +90.1     22.26      -9.7     -255
  23.387    568   58  +90.4     19.62     -31.9     -448
  23.488    560   58  +90.2     16.98     -26.2     -512
  23.589    553   59  +90.2     14.34     -26.2     -447
  23.689    545   60  +88.0     11.70     -26.2     -511
  23.791    538   61  +85.5      9.06     -26.0     -447
  23.892    534   63* +84.0      7.59     -14.7     -254
  23.992    535   63* +84.2      8.14      +5.5      +64
  24.089    539   63* +85.4      9.59     +14.9     +256
  24.294    538   63* +85.0      9.27      -1.6      -64
  24.386    536   63* +84.3      8.40      -9.5     -128
  24.591    532   62  +83.0      7.01      -6.8     -257
  24.685    528   62  +81.5      5.79     -13.1     -256
  24.794    527   63* +81.2      5.33      -4.1      -63
  25.890    526   55  +89.0      5.07      -0.2      -72
  25.990    523   47  +87.7      3.96     -11.1     -200
  26.083    516   41  +85.0      1.32     -28.5     -454
  26.193    508   42  +82.0     -1.32     -24.0     -511
  26.286    501   45  +79.4     -3.95     -28.1     -445
  26.483    501   44  +79.4     -4.03      -0.4       -1
  26.585    501   42  +79.5     -4.03      +0.0       -2
  26.685    507   40  +81.7     -1.66     +23.9     +382
  26.801    515   41  +84.6      0.98     +22.7     +513
  26.886    522   41  +87.1      3.62     +31.1     +448
  26.983    530   42  +89.9      6.26     +27.2     +513
  27.083    527   44  +90.9      5.19     -10.7     -190
  27.189    525   45  +90.6      4.72      -4.4     -127
  27.288    533   44  +93.4      7.36     +26.6     +511
  27.389    540   42  +95.8     10.00     +26.2     +446
  27.491    548   41  +98.6     12.64     +25.9     +511
  27.587    555   42  +101.0     15.28     +27.6     +449
  27.687    563   47  +103.6     17.91     +26.3     +517
  27.794    563   55  +103.1     17.85      -0.6       +8
  27.886    555   59  +99.7     15.21     -28.8     -508
  27.987    548   61  +96.6     12.58     -26.1     -446
  28.093    540   63* +93.5      9.94     -24.9     -510
  28.186    538   63* +93.1      9.13      -8.7     -128
  28.299    534   60  +92.6      7.82     -11.6     -259
  28.386    534   52  +93.8      7.67      -1.7       -8
  28.490    534   45  +95.1      7.64      -0.4       -7
  28.590    533   37  +95.7      7.34      -3.0      -72
  28.691    532   32  +96.0      6.93      -4.1      -69
  28.791    533   39  +96.5      7.34      +4.1      +71
  28.893    533   44  +96.3      7.47      +1.4       +5
  28.992    534   48  +96.2      7.61      +1.4      +68
  29.085    534   53  +95.8      7.64      +0.3       +5
  29.188    534   56  +95.6      7.57      -0.7       +3
  29.392    534   53  +95.7      7.70      +0.6       -3
  29.489    534   49  +95.9      7.70      +0.0       -4
  29.589    534   46  +96.1      7.90      +2.0       -3
  29.691    542   46  +99.0     10.54     +26.0     +512
  29.789    549   46  +101.4     13.18     +26.7     +448
  29.889    557   47  +104.1     15.82     +26.4     +513
  29.985    564   49  +106.4     18.45     +27.6     +450
  30.086    572   54  +109.2     21.09     +26.1     +517
  30.199    576   59  +110.6     22.34     +11.0     +261
  30.297    576   60  +110.5     22.35      +0.1       +1
  30.486    575   60  +110.2     22.32      -0.1      -64
  30.584    575   59  +110.2     22.27      -0.5       -1
  30.686    575   58  +110.2     22.29      +0.2       -1
  30.792    575   56  +110.2     22.23      -0.5       -2
  30.889    575   55  +110.2     22.23      -0.0       -1
  30.990    575   52  +110.2     22.20      -0.4       -3
  31.084    575   48  +110.3     22.16      -0.4       -4
  31.191    575   45  +110.3     22.12      -0.4       -3
  31.298    574   42  +109.9     21.86      -2.4      -67
  31.388    574   40  +110.0     21.70      -1.8       -2
  31.487    577   41  +111.0     22.72     +10.2     +193
  31.587    573   41  +109.6     21.43     -12.8     -256
  31.689    572   41  +109.2     21.13      -3.0      -64
  31.788    572   42  +109.2     20.92      -2.1       +1
  31.890    575   42  +110.3     22.00     +10.7     +192
  31.990    572   39  +109.2     20.97     -10.3     -195
  32.089    572   37  +109.3     21.01      +0.4       -2
  32.190    572   35  +109.3     20.98      -0.3       -2
  32.289    575   34  +110.3     22.21     +12.4     +191
  32.385    575   32  +110.3     22.27      +0.6       -2
  32.485    572   29  +109.3     20.97     -12.9     -195
  32.585    572   28  +109.3     20.99      +0.1       -1
